Experiment,Train Loss,Val Loss,Train Acc (%),Val Acc (%),Loss Gap
1. Dropout=0.3,1.6110476224046004,1.6098463654518127,21.0,19.666666666666664,-0.0012012569527877215
2. No Dropout,1.6092342451999062,1.610023808479309,21.5,22.0,0.0007895632794028273
3. Kernel=5,1.609682255669644,1.6099719643592834,20.25,18.0,0.0002897086896394008
4. Filters=64,1.6095785718215139,1.6110539436340332,19.0,19.0,0.0014753718125193327
5. BatchNorm,1.5933846235275269,1.6147101998329163,24.5,22.0,0.02132557630538945
